Time,PID_distance
1,-0.46479571460433394
2,-0.6316597646445947
3,-0.04817713340574539
4,-0.03389318742012317
5,-0.037324078355177634
6,-0.037413927328848795
7,-0.03735939797488379
8,-0.03736572112879854
9,-0.03735771958809853
10,-0.03736413130862334
11,-0.03736196520589432
12,-0.03736626406227025
13,-0.037366828863677315
14,-0.037369941743282724
15,-0.03737150022610169
16,-0.037374077464090584
17,-0.037376017604231704
18,-0.03737836849665561
19,-0.03738046007935741
20,-0.03738271783364031
21,-0.037384870446387185
22,-0.037387090403546534
23,-0.03738926786933174
24,-0.03739147268981118
25,-0.03739366042318521
26,-0.03739585932710397
27,-0.03739805143121114
28,-0.03740024815826011
29,-0.037402442246871635
30,-0.0374046383107992
31,-0.03740683341793354
32,-0.03740902943025512
33,-0.037411225164549436
34,-0.03741342137155996
35,-0.037415617574047814
36,-0.03741781407435398
37,-0.0374200106800081
38,-0.03742220751255249
39,-0.03742440449429867
40,-0.03742660167394691
41,-0.037428799020040864
42,-0.03743099655195751
43,-0.03743319425684972
44,-0.037435392142300856
45,-0.03743759020295045
46,-0.03743978844164395
47,-0.03744198685603236
48,-0.037444185447060935
49,-0.03744638421359284
50,-0.037448583155813585
51,-0.03745078227307563
52,-0.03745298156526269
53,-0.03745518103192622
54,-0.03745738067283188
55,-0.03745958048761369
56,-0.037461780475992836
57,-0.037463980637639234
58,-0.037466180972259004
59,-0.037468381479539195
60,-0.03747058215918264
61,-0.03747278301088599
62,-0.037474984034353453
63,-0.03747718522928815
64,-0.03747938659539755
65,-0.03748158813238999
66,-0.03748378983997687
67,-0.037485991717871196
68,-0.03748819376578852
69,-0.0374903959834463
70,-0.03749259837056428
71,-0.037494800926864226
72,-0.03749700365207005
73,-0.03749920654590773
74,-0.03750140960810533
75,-0.03750361283839296
76,-0.03750581623650276
77,-0.03750801980216892
78,-0.03751022353512759
79,-0.03751242743511698
80,-0.03751463150187722
81,-0.037516835735150425
82,-0.037519040134680694
83,-0.03752124470021401
84,-0.037523449431498296
85,-0.037525654328283385
86,-0.037527859390320994
87,-0.037530064617364745
88,-0.03753227000917009
89,-0.037534475565494343
90,-0.03753668128609666
91,-0.03753888717073802
92,-0.0375410932191812
93,-0.037543299431190794
94,-0.03754550580653316
95,-0.03754771234497643
96,-0.03754991904629051
97,-0.037552125910247015
98,-0.03755433293661932
99,-0.0375565401251825
100,-0.037558747475713354
101,-0.03756095498799034
102,-0.037563162661793645
103,-0.03756537049690507
104,-0.03756757849310812
105,-0.03756978665018789
106,-0.037571994967931156
107,-0.037574203446126296
108,-0.037576412084563256
109,-0.03757862088303363
110,-0.03758082984133058
111,-0.03758303895924882
112,-0.03758524823658463
113,-0.03758745767313586
114,-0.03758966726870186
115,-0.03759187702308354
116,-0.03759408693608329
