Time,PID_distance
1,203.0
2,145.38782352941178
3,103.43916802768165
4,72.31690975477304
5,48.67903907047068
6,30.222805752655432
7,15.367878029531198
8,3.036063310319264
9,-7.501898036951047
10,-16.732949136835146
11,-24.975970709750243
12,-32.43355442935342
13,-39.22815817996843
14,-45.42740865709084
15,-51.06185988544382
16,-56.13750420106999
17,-60.64462925244652
18,-64.56412628116664
19,-67.87201581007514
20,-70.54272136991835
21,-72.55145840834535
22,-73.87599207685685
23,-74.49793891872804
24,-74.4037329799595
25,-73.58533916833733
26,-72.04077067328507
27,-69.7744493735284
28,-66.79743592752845
29,-63.797435927528454
30,-60.797435927528454
31,-57.797435927528454
32,-54.797435927528454
33,-51.797435927528454
34,-48.797435927528454
35,-45.797435927528454
36,-42.797435927528454
37,-39.797435927528454
38,-36.797435927528454
39,-33.797435927528454
40,-30.797435927528454
41,-27.797435927528454
42,-24.797435927528454
43,-21.797435927528454
44,-18.797435927528454
45,-15.797435927528454
46,-12.797435927528454
47,-9.797435927528454
48,-6.797435927528454
49,-3.797435927528454
50,-0.7974359275284542
51,2.202564072471546
52,5.202564072471546
53,8.202564072471546
54,11.202564072471546
55,14.202564072471546
56,17.202564072471546
57,20.202564072471546
58,23.202564072471546
59,26.202564072471546
60,29.202564072471546
61,32.202564072471546
62,35.202564072471546
63,38.202564072471546
64,41.202564072471546
65,44.202564072471546
66,47.202564072471546
67,50.202564072471546
68,53.202564072471546
69,56.202564072471546
70,59.202564072471546
71,62.202564072471546
72,65.20256407247155
73,68.20256407247155
74,71.20256407247155
75,74.20256407247155
76,77.20256407247155
77,80.20256407247155
78,83.20256407247155
79,86.20256407247155
80,89.20256407247155
81,92.20256407247155
82,95.20256407247155
83,98.20256407247155
84,101.20256407247155
85,104.20256407247155
86,107.20256407247155
87,110.20256407247155
88,113.20256407247155
89,116.20256407247155
90,119.20256407247155
91,122.20256407247155
92,125.20256407247155
93,128.20256407247155
94,131.20256407247155
95,134.20256407247155
96,137.20256407247155
97,140.20256407247155
98,143.20256407247155
99,143.71991208302597
100,136.68530150693482
101,123.93029506038425
102,106.79537008411978
103,86.2848719836503
104,63.17403234514387
105,38.0826353604877
106,11.5254690809914
107,-16.053390728136947
108,-44.25756153873033
109,-72.72318698557808
110,-101.10924346315346
111,-129.09166044080212
112,-156.36009332842195
113,-182.61653405525385
114,-207.57518502596668
115,-230.96318918174723
116,-252.52192502206026
117,-272.00865626755444
118,-289.1983822254856
119,-303.8857743986657
120,-315.88711269524936
121,-325.0421543857848
122,-331.2158832385212
123,-334.3000967923697
124,-334.2147977089893
125,-331.2147977089893
126,-328.2147977089893
127,-325.2147977089893
128,-322.2147977089893
129,-319.2147977089893
130,-316.2147977089893
131,-313.2147977089893
132,-310.2147977089893
133,-307.2147977089893
134,-304.2147977089893
135,-301.2147977089893
136,-298.2147977089893
137,-295.2147977089893
138,-292.2147977089893
139,-289.2147977089893
140,-286.2147977089893
141,-283.2147977089893
142,-280.2147977089893
143,-277.2147977089893
144,-274.2147977089893
145,-271.2147977089893
146,-268.2147977089893
147,-265.2147977089893
148,-262.2147977089893
149,-259.2147977089893
150,-256.2147977089893
151,-253.2147977089893
152,-250.2147977089893
153,-247.2147977089893
154,-244.2147977089893
155,-241.2147977089893
156,-238.2147977089893
157,-235.2147977089893
158,-232.2147977089893
159,-229.2147977089893
160,-226.2147977089893
161,-223.2147977089893
162,-220.2147977089893
163,-217.2147977089893
164,-214.2147977089893
165,-211.2147977089893
166,-208.2147977089893
167,-205.2147977089893
168,-202.2147977089893
169,-199.2147977089893
170,-196.2147977089893
171,-193.2147977089893
172,-190.2147977089893
173,-187.2147977089893
174,-184.2147977089893
175,-181.2147977089893
176,-178.2147977089893
177,-175.2147977089893
178,-172.2147977089893
179,-169.2147977089893
180,-166.2147977089893
181,-163.2147977089893
182,-160.2147977089893
183,-157.2147977089893
184,-154.2147977089893
185,-151.2147977089893
186,-148.2147977089893
187,-145.2147977089893
188,-142.2147977089893
189,-139.2147977089893
190,-136.2147977089893
191,-133.2147977089893
192,-130.2147977089893
193,-127.2147977089893
194,-124.2147977089893
195,-121.2147977089893
196,-118.2147977089893
197,-115.2147977089893
198,-112.2147977089893
199,-109.2147977089893
200,-106.2147977089893
201,-103.2147977089893
202,-100.2147977089893
203,-97.2147977089893
204,-94.2147977089893
205,-91.2147977089893
206,-88.2147977089893
207,-85.2147977089893
208,-82.2147977089893
209,-79.2147977089893
210,-76.2147977089893
211,-73.2147977089893
212,-70.2147977089893
213,-67.2147977089893
214,-64.2147977089893
215,-61.214797708989295
216,-58.214797708989295
217,-55.214797708989295
218,-52.214797708989295
219,-49.214797708989295
220,-46.214797708989295
221,-43.214797708989295
222,-40.214797708989295
223,-37.214797708989295
224,-34.214797708989295
225,-31.214797708989295
226,-28.214797708989295
227,-25.214797708989295
228,-22.214797708989295
229,-19.214797708989295
230,-16.214797708989295
231,-13.214797708989295
232,-10.214797708989295
233,-7.214797708989295
234,-4.214797708989295
235,-1.2147977089892947
236,1.7852022910107053
237,4.785202291010705
238,7.785202291010705
239,10.785202291010705
240,13.785202291010705
241,16.785202291010705
242,19.785202291010705
243,22.785202291010705
244,25.785202291010705
245,28.785202291010705
246,31.785202291010705
247,34.785202291010705
248,37.785202291010705
249,40.785202291010705
250,43.785202291010705
251,46.785202291010705
252,49.785202291010705
253,52.785202291010705
254,55.785202291010705
255,58.785202291010705
256,61.785202291010705
257,64.7852022910107
258,67.7852022910107
259,70.7852022910107
260,73.7852022910107
261,76.7852022910107
262,79.7852022910107
263,82.7852022910107
264,85.7852022910107
265,88.7852022910107
266,91.7852022910107
267,94.7852022910107
268,97.7852022910107
269,100.7852022910107
270,103.7852022910107
271,106.7852022910107
272,109.7852022910107
273,112.7852022910107
274,115.7852022910107
275,118.7852022910107
276,121.7852022910107
277,124.7852022910107
278,127.7852022910107
279,130.7852022910107
280,133.7852022910107
281,136.7852022910107
282,139.7852022910107
283,142.7852022910107
284,145.7852022910107
285,148.7852022910107
286,151.7852022910107
287,154.7852022910107
288,157.7852022910107
289,160.7852022910107
290,163.7852022910107
291,166.7852022910107
292,169.7852022910107
293,172.7852022910107
294,175.7852022910107
295,178.7852022910107
296,181.7852022910107
297,184.7852022910107
298,187.7852022910107
299,190.7852022910107
300,193.7852022910107
301,196.7852022910107
302,199.7852022910107
303,202.7852022910107
304,205.7852022910107
305,208.7852022910107
306,211.7852022910107
307,214.7852022910107
308,217.7852022910107
309,220.7852022910107
310,223.7852022910107
311,226.7852022910107
312,229.7852022910107
313,232.7852022910107
314,235.7852022910107
315,238.7852022910107
316,241.7852022910107
317,244.7852022910107
318,247.7852022910107
319,250.7852022910107
320,253.7852022910107
321,256.7852022910107
322,259.7852022910107
323,262.7852022910107
324,265.7852022910107
325,268.7852022910107
326,271.7852022910107
327,274.7852022910107
328,277.7852022910107
329,280.7852022910107
330,283.7852022910107
331,286.7852022910107
332,289.7852022910107
333,292.7852022910107
334,295.7852022910107
335,298.7852022910107
336,301.7852022910107
337,304.7852022910107
338,307.7852022910107
339,310.7852022910107
340,313.7852022910107
341,316.7852022910107
342,319.7852022910107
343,322.7852022910107
344,325.7852022910107
345,328.7852022910107
346,331.7852022910107
347,334.7852022910107
348,337.7852022910107
349,340.7852022910107
350,343.7852022910107
351,346.7852022910107
352,349.7852022910107
353,352.7852022910107
354,355.7852022910107
355,358.7852022910107
