Time,PID_distance,APID_distance
1,0.03,0.03
2,0.06,0.06
3,0.09,0.09
4,0.12,0.12
5,0.15,0.15
6,0.18,0.18
7,0.21,0.21
8,0.24,0.24
9,0.27,0.27
10,0.30000000000000004,0.30000000000000004
11,0.33000000000000007,0.33000000000000007
12,0.3600000000000001,0.3600000000000001
13,0.3900000000000001,0.3900000000000001
14,0.42000000000000015,0.42000000000000015
15,0.4500000000000002,0.4500000000000002
16,0.4800000000000002,0.4800000000000002
17,0.5100000000000002,0.5100000000000002
18,0.5400000000000003,0.5400000000000003
19,0.5700000000000003,0.5700000000000003
20,0.6000000000000003,0.6000000000000003
21,0.6300000000000003,0.6300000000000003
22,0.6600000000000004,0.6600000000000004
23,0.6900000000000004,0.6900000000000004
24,0.7200000000000004,0.7200000000000004
25,0.7500000000000004,0.7500000000000004
26,0.7800000000000005,0.7800000000000005
27,0.8100000000000005,0.8100000000000005
28,0.8400000000000005,0.8400000000000005
29,0.8700000000000006,0.8700000000000006
30,0.9000000000000006,0.9000000000000006
31,0.9300000000000006,0.9300000000000006
32,0.9600000000000006,0.9600000000000006
33,0.9900000000000007,0.9900000000000007
34,1.0200000000000007,1.0200000000000007
35,1.0500000000000007,1.0500000000000007
36,1.0800000000000007,1.0800000000000007
37,1.1100000000000008,1.1100000000000008
38,1.1400000000000008,1.1400000000000008
39,1.1700000000000008,1.1700000000000008
40,1.1746999999999999,1.1960159627441798
41,1.17347,1.1901716016176924
42,1.1715999999999998,1.1601716016176926
43,1.1696782999999997,1.1301716016176926
44,1.1677701299999999,1.1199093012512542
45,1.16588253,1.1332499341320483
46,1.1640160686999999,1.152282878365071
47,1.1621705972699998,1.155236638755425
48,1.1603458894399996,1.1367995032850766
49,1.1585417126843,1.1119144949181523
50,1.1567578361143298,1.100443461574271
51,1.1549940313304898,1.1085777874184384
52,1.1532500724909625,1.1241584147144925
53,1.151525736293705,1.1291357972801075
54,1.1498208019490694,1.1166002236065622
55,1.148135051151669,1.0963611660463688
56,1.146468268052438,1.0846641348227453
57,1.1448202392309983,1.0888096711607924
58,1.1431907536683301,1.1010961870505556
59,1.1415796027197533,1.106960749525961
60,1.1399865800882123,1.098870225674537
61,1.1384114817978606,1.0827530397832663
62,1.1368541061679434,1.0715466092078965
63,1.135314253786973,1.072811447202482
64,1.1337917274871967,1.082169086783729
65,1.132286332319349,1.0881726674838998
66,1.1307978755276924,1.0833468787199667
67,1.1293261665253331,1.070782502204112
68,1.1278710168698205,1.060513428007102
69,1.1264322402390157,1.0598039593792443
70,1.125009652407237,1.066666213718379
71,1.1236030712216694,1.072339099884655
72,1.12221231657904,1.0698376383490011
73,1.1208372104025603,1.0602539866235745
74,1.119477576619122,1.0511524541073114
75,1.1181332411367524,1.0491684032222457
76,1.1168040318223245,1.053968017589752
77,1.1154897784795141,1.0590264057319974
78,1.1141903128270099,1.0580910754033843
79,1.1129054684769641,1.0509197266686987
80,1.1116350809136897,1.0431171309132232
81,1.1103789874725924,1.0405106327681664
82,1.1091370273193457,1.043772163993369
83,1.1079090414292954,1.048171898434742
84,1.1066948725670966,1.0483103445728517
85,1.105494365266584,1.0431337991203486
86,1.1043073658108618,1.0365956376727485
87,1.1031337222126236,1.0336538227076597
88,1.1019732841946912,1.0356373291511518
89,1.1008259031707717,1.0392834101321489
90,1.099691432226433,1.0400659518764945
91,1.0985697261002911,1.0364495128547038
92,1.0974606411654129,1.0310879399061124
93,1.096364035410922,1.028079723196096
94,1.095279768423819,1.0290935918489539
95,1.0942077013709992,1.0320068755062926
96,1.0931476969814793,1.0331285725281272
97,1.092099619528817,1.0307069179012989
98,1.0910633348137362,1.0264017722109686
99,1.09003871014694,1.0235113533749172
100,1.0890256143321229,1.0238201910495934
101,1.0880239176491717,1.0260652030984319
102,1.0870334918375555,1.027315011797152
103,1.0860542100799022,1.025785883646043
104,1.0850859469857612,1.0224001637120685
105,1.0841285785755481,1.0197426202398634
106,1.0831819822646693,1.0195631074679272
107,1.0822460368478257,1.021225893681533
108,1.0813206224834948,1.0224645401750854
109,1.0804056206785835,1.0215834854437071
110,1.0795009142732575,1.0189767278448718
111,1.078606387425939,1.0166146568691787
112,1.0777219255984742,1.0161182896449894
113,1.0768474155414687,1.0172923624550285
114,1.0759827452797834,1.0184341717111463
115,1.0751278040982002,1.0180078471861336
116,1.0742824825272441,1.0160451459153803
117,1.0734466723291662,1.0140009848413358
118,1.072620266484086,1.013315518837293
119,1.0718031591762864,1.014089525173683
120,1.0709952457806655,1.0150870623600872
121,1.070196422849341,1.0149675688201913
122,1.0694065880984014,1.0135265686912462
123,1.0686256403948144,1.01180253122333
124,1.0678534797434711,1.011031929361312
125,1.0670900072743894,1.0114969600639037
126,1.066335125230046,1.0123336779077872
127,1.065588736952868,1.0124084460603284
128,1.0648507468728496,1.0113800567700797
129,1.064121060495319,1.009956868510336
130,1.0633995843888373,1.0091696603634426
131,1.0626862261732364,1.009399806419872
132,1.0619808945077875,1.0100744195414015
133,1.0612834990795106,1.0102613546891108
134,1.0605939505916053,1.009552359004005
135,1.0599121607520194,1.0084011002089346
136,1.0592380422621446,1.0076438765412261
137,1.0585715088056369,1.0077025006420421
138,1.057912475037365,1.0082255015514288
139,1.0572608565724813,1.008466514591969
140,1.0566165699756191,1.0079990631286102
141,1.0559795327502082,1.0070859571901156
142,1.055349663327911,1.0063880145223014
143,1.054726881058179,1.0063273642604913
144,1.0541111061979267,1.0067158440362678
145,1.05350225990132,1.0069715176335081
146,1.0529002642096796,1.0066821060051199
147,1.0523050420415023,1.0059720808771284
148,1.0517165171825882,1.0053496167619032
149,1.0511346142762816,1.005211414502408
150,1.0505592588138253,1.0054854471734394
151,1.0499903771248165,1.0057305345318999
152,1.0494278963677774,1.0055685240177787
153,1.0488717445208255,1.0050276233935778
154,1.0483218503724525,1.0044872644362055
155,1.0477781435124065,1.00430375909598
156,1.047240554322678,1.0044839298000419
157,1.0467090139685808,1.004703669079679
158,1.0461834543899444,1.0046296567032806
159,1.045663808292395,1.0042266184457977
160,1.0451500091387405,1.0037683978223968
161,1.044641991140451,1.003563768211471
162,1.0441396892492345,1.00366969033804
163,1.0436430391487086,1.003856763401148
164,1.043151977246164,1.0038406558407797
165,1.042666440664422,1.003547568229116
166,1.0421863672337865,1.0031670167184292
167,1.0417116954840782,1.002958541658443
168,1.0412423646367701,1.0030077837806344
169,1.0407783145971985,1.0031599998676457
170,1.0403194859468732,1.0031795299354815
171,1.0398658199358684,1.002972344527957
172,1.0394172584753,1.0026623785273836
173,1.0389737441298843,1.0024618438080095
174,1.0385352201105889,1.0024695704547613
175,1.0381016302673611,1.0025880806909475
176,1.037672919081933,1.002627228799292
177,1.037249031660716,1.0024857191750973
178,1.0368299137277752,1.002237908142087
179,1.0364155116178733,1.0020527740460325
180,1.0360057722696059,1.0020316026658307
181,1.0356006432186007,1.0021195526316982
182,1.0352000725908042,1.0021672051836443
183,1.0348040090958381,1.002074753301545
184,1.0344124020204335,1.0018802464312513
185,1.034025201221934,1.0017146801785968
186,1.033642357121881,1.0016747644668351
187,1.0332638206996556,1.0017363255760694
188,1.0328895434862142,1.001785129741405
189,1.0325194775578739,1.0017283823023577
190,1.0321535755301774,1.0015785404354292
191,1.0317917905518295,1.00143429000763
192,1.0314340762986918,1.0013835343359139
193,1.0310803869678606,1.0014232312037148
194,1.0307306772717908,1.001468642231088
195,1.0303849024325045,1.0014371016231944
196,1.0300430181758582,1.001323898816712
197,1.0297049807258691,1.0012010107907034
198,1.0293707467991107,1.0011453561550239
199,1.0290402735991773,1.0011676253031672
200,1.028713518811192,1.001207136018631

C.APID_max,1.1960159627441798
C.PID_max,1.1746999999999999
