Time,PID_distance,APID_distance
1,0.03,0.03
2,0.06,0.06
3,0.09,0.09
4,0.12,0.12
5,0.15,0.15
6,0.18,0.18
7,0.21,0.21
8,0.24,0.24
9,0.27,0.27
10,0.30000000000000004,0.30000000000000004
11,0.33000000000000007,0.33000000000000007
12,0.3600000000000001,0.3600000000000001
13,0.3900000000000001,0.3900000000000001
14,0.42000000000000015,0.42000000000000015
15,0.4500000000000002,0.4500000000000002
16,0.4800000000000002,0.4800000000000002
17,0.5100000000000002,0.5100000000000002
18,0.5400000000000003,0.5400000000000003
19,0.5700000000000003,0.5700000000000003
20,0.6000000000000003,0.6000000000000003
21,0.6300000000000003,0.6300000000000003
22,0.6600000000000004,0.6600000000000004
23,0.6900000000000004,0.6900000000000004
24,0.7200000000000004,0.7200000000000004
25,0.7500000000000004,0.7500000000000004
26,0.7800000000000005,0.7800000000000005
27,0.8100000000000005,0.8100000000000005
28,0.8400000000000005,0.8400000000000005
29,0.8700000000000006,0.8700000000000006
30,0.9000000000000006,0.9000000000000006
31,0.9300000000000006,0.9300000000000006
32,0.9600000000000006,0.9600000000000006
33,0.9900000000000007,0.9900000000000007
34,1.0200000000000007,1.0200000000000007
35,1.0500000000000007,1.0500000000000007
36,1.0800000000000007,1.0800000000000007
37,1.1100000000000008,1.1100000000000008
38,1.1400000000000008,1.1400000000000008
39,1.1700000000000008,1.1700000000000008
40,1.2000000000000008,1.2000000000000008
41,1.2300000000000009,1.2300000000000009
42,1.260000000000001,1.260000000000001
43,1.2681999999999995,1.290000000000001
44,1.284636000000001,1.320000000000001
45,1.270707279999998,1.350000000000001
46,1.2956578544000026,1.380000000000001
47,1.2656578544000028,1.410000000000001
48,1.2956578544000028,1.440000000000001
49,1.2656578544000028,1.470000000000001
50,1.2892765060479996,1.500000000000001
51,1.2592765060479996,1.5300000000000011
52,1.2783054458060794,1.5600000000000012
53,1.2483054458060794,1.5900000000000012
54,1.2677732279738365,1.6200000000000012
55,1.2377732279738365,1.6500000000000012
56,1.257662298854883,1.654555346001455
57,1.2276622988548829,1.624555346001455
58,1.2479558069006875,1.5945553460014552
59,1.2179558069006875,1.5645553460014552
60,1.23863757462466,1.5345553460014552
61,1.2086375746246603,1.5045553460014551
62,1.2296920716396733,1.474555346001455
63,1.1996920716396733,1.4445553460014553
64,1.2211043887740867,1.4145553460014553
65,1.1911043887740869,1.3845553460014552
66,1.2128602132231228,1.3545553460014552
67,1.1828602132231227,1.3245553460014552
68,1.204945804694198,1.294555346001455
69,1.1749458046941978,1.2645553460014547
70,1.1973479725064307,1.2345553460014544
71,1.1673479725064304,1.2045553460014542
72,1.1900540536061734,1.174555346001454
73,1.1600540536061732,1.1445553460014537
74,1.1830518914619266,1.1145553460014535
75,1.1530518914619263,1.0845553460014532
76,1.1763298158034494,1.054555346001453
77,1.1463298158034492,1.0245553460014527
78,1.1698766231713114,0.9945553460014525
79,1.139876623171311,0.9645553460014522
80,1.163681558244459,0.934555346001452
81,1.1336815582444588,0.9045553460014517
82,1.1577342959146806,0.8745553460014515
83,1.1277342959146803,0.8445553460014512
84,1.1520249240780933,0.814555346001451
85,1.122024924078093,0.7845553460014507
86,1.1465439271149698,0.7545553460014505
87,1.1165439271149695,0.7245553460014502
88,1.1412821700303708,0.69455534600145
89,1.1112821700303706,0.6645553460014497
90,1.136230883229156,0.6754009772298879
91,1.1062308832291559,0.7054009772298877
92,1.1313816478999899,0.7354009772298875
93,1.1013816478999896,0.7654009772298873
94,1.1267263819839903,0.7954009772298871
95,1.09672638198399,0.8254009772298869
96,1.1222573267046307,0.8554009772298867
97,1.0922573267046305,0.8854009772298865
98,1.1179670336364453,0.9154009772298863
99,1.087967033636445,0.9454009772298861
100,1.1138483522909877,0.975400977229886
101,1.0838483522909874,1.0054009772298858
102,1.1098944181993482,1.0160365690557662
103,1.079894418199348,0.9981117389248642
104,1.106098641471374,0.9756605386719097
105,1.0760986414713738,0.9757782777479167
106,1.1024546958125194,0.9974073290979333
107,1.0724546958125192,1.014859213538919
108,1.0989565079800183,1.0092123610297294
109,1.068956507980018,0.9894116349839228
110,1.095598247660818,0.9797804989119232
111,1.0655982476608177,0.9909628494155527
112,1.092374317754385,1.008874633726422
113,1.0623743177543847,1.0128324114156921
114,1.0892793450442095,0.9997504343245343
115,1.0592793450442093,0.9862411125588348
116,1.0863081712424414,0.9880177353885227
117,1.0563081712424411,1.0020030981070245
118,1.0834558443927436,1.0113835036719148
119,1.0534558443927433,1.005958928646816
120,1.0807176106170338,0.9932713134283455
121,1.0507176106170335,0.9885366590577411
122,1.0780889061923524,0.9966214396290165
123,1.0480889061923522,1.0073227938291534
124,1.0755653499446582,1.0082658165680551
125,1.045565349944658,0.9992335001559711
126,1.0731427359468722,0.9914253351908546
127,1.043142735946872,0.993720858268961
128,1.0708170265089971,1.0027153671791735
129,1.0408170265089969,1.0076152520549697
130,1.0685843454486372,1.0031839926215729
131,1.038584345448637,0.9952782446667459
132,1.066440971630692,0.9932469835535969
133,1.0364409716306917,0.9989562613885314
134,1.0643833327654648,1.0052654476206349
135,1.034383332765465,1.0049272954753392
136,1.062407999454845,0.9988846353045471
137,1.0324079994548452,0.9945250715308966
138,1.0605116794766514,0.996707847085295
139,1.0305116794766516,1.0024132297793464
140,1.0586912122975853,1.0048380010528626
141,1.0286912122975855,1.0014838477434669
142,1.0569435638056817,0.996663681243076
143,1.0269435638056819,0.9960146249424597
144,1.0552658212534545,0.9999437936462643
145,1.0252658212534547,1.0035890121111688
146,1.0536551884033165,1.0028084975125227
147,1.0236551884033167,0.9988586233559302
148,1.0521089808671835,0.9965173444350421
149,1.0221089808671837,0.9983333750314025
150,1.0506246216324966,1.0018932722544553
151,1.0206246216324968,1.0029857680404866
152,1.0491996367671965,1.0005641684618185
153,1.0191996367671967,0.9976854683291774
154,1.0478316512965087,0.9976800968238262
155,1.0178316512965089,1.0003210939604612
156,1.0465183852446485,1.0023735630876307
157,1.0165183852446487,1.0015391205557558
158,1.0452576498348622,0.9990079480055956
159,1.0152576498348624,0.9978134734190394
160,1.0440473438414677,0.9992132526714594
161,1.0140473438414679,1.0013955963260717
162,1.0428854500878093,1.001801475790622
163,1.0128854500878095,1.0001118492147212
164,1.0417700320842966,0.9984299781484482
165,1.0117700320842968,0.9986788227038419
166,1.040699230800925,1.0004167073922048
167,1.0106992308009253,1.0015351034657947
168,1.0396712615688877,1.0008057056798183
169,1.0096712615688883,0.9992133548299531
170,1.0386844111061313,0.9986494619421658
171,1.008684411106132,0.9996751812843145
172,1.0377370346618866,1.0009880975329999
173,1.0077370346618872,1.0010634870931279
174,1.036827553275411,0.9999160578046924
175,1.0068275532754116,0.9989576836261076
176,1.035954451144394,0.9992689799369767
177,1.0059544511443947,1.000390543538325
178,1.0351162730986188,1.0009738071027847
179,1.0051162730986194,1.0003956736992583
180,1.0343116221746742,0.9994119518083817
181,1.0043116221746748,0.9991806724114696
182,1.033539157287687,0.9999050274460188
183,1.0035391572876877,1.000678816327266
184,1.0327975909961795,1.0006131507468456
185,1.0027975909961802,0.9998515469278315
186,1.0320856873563322,0.9993216753667662
187,1.0020856873563329,0.9996106079848461
188,1.0314022598620785,1.000321217984343
189,1.001402259862079,1.000606522860834
190,1.0307461694675952,1.000174923780225
191,1.0007461694675959,0.9995784103078496
192,1.030116322688892,0.9995125801838043
193,1.0001163226888927,1.000009474753666
194,1.0295116697813365,1.0004550106483165
195,0.9995116697813371,1.0003438773707058
196,1.0289312029900826,0.999848529551171
197,0.9989312029900832,0.9995667428800896
198,1.0283739548704798,0.9998033587888333
199,0.9983739548704804,1.0002455492318942
200,1.0278389966756603,1.000370890000477
C.APID_max,1.654555346001455
C.PID_max,1.2956578544000028
