Time,PID_distance,APID_distance
1,0.03,0.03
2,0.06,0.0
3,0.09,0.03
4,0.12,0.06
5,0.15,0.09
6,0.18,0.12
7,0.21,0.15
8,0.24,0.18
9,0.27,0.21000000000000002
10,0.30000000000000004,0.24000000000000005
11,0.33000000000000007,0.2700000000000001
12,0.3600000000000001,0.3000000000000001
13,0.3900000000000001,0.3300000000000001
14,0.42000000000000015,0.36000000000000015
15,0.4500000000000002,0.3900000000000002
16,0.4800000000000002,0.4200000000000002
17,0.5100000000000002,0.45000000000000023
18,0.5400000000000003,0.48000000000000026
19,0.5700000000000003,0.5100000000000002
20,0.6000000000000003,0.5400000000000003
21,0.6300000000000003,0.5700000000000003
22,0.6600000000000004,0.6000000000000003
23,0.6900000000000004,0.6300000000000003
24,0.7200000000000004,0.6600000000000004
25,0.7500000000000004,0.6900000000000004
26,0.7800000000000005,0.7200000000000004
27,0.8100000000000005,0.7500000000000004
28,0.8400000000000005,0.7800000000000005
29,0.8700000000000006,0.8100000000000005
30,0.9000000000000006,0.8400000000000005
31,0.9300000000000006,0.8700000000000006
32,0.9600000000000006,0.9000000000000006
33,0.9900000000000007,0.9300000000000006
34,1.0200000000000007,0.9600000000000006
35,1.0500000000000007,0.9900000000000007
36,1.0800000000000007,1.0200000000000007
37,1.1100000000000008,1.0500000000000007
38,1.1400000000000008,1.0800000000000007
39,1.1700000000000008,1.1100000000000008
40,1.2000000000000008,1.1400000000000008
41,1.2300000000000009,1.1700000000000008
42,1.260000000000001,1.2000000000000008
43,1.290000000000001,1.2300000000000009
44,1.2903999999999998,1.260000000000001
45,1.3203999999999998,1.290000000000001
46,1.2903999999999998,1.320000000000001
47,1.3203999999999998,1.350000000000001
48,1.2903999999999998,1.380000000000001
49,1.3203999999999998,1.410000000000001
50,1.2904,1.440000000000001
51,1.3203999999999998,1.470000000000001
52,1.2904,1.500000000000001
53,1.3204,1.5300000000000011
54,1.2904,1.5600000000000012
55,1.3204,1.5900000000000012
