Time,PID_distance
1,199.5643332135678
2,199.3815489940993
3,199.08608429361527
4,199.29520139168332
5,199.36359325604795
6,199.03104065429986
7,198.80640068778735
8,199.0627746437459
9,199.2028651204564
10,198.87152328959195
11,199.10595680670858
12,198.75387081128648
13,198.49573060061275
14,198.07242416550406
15,198.39675348513657
16,198.0595001867069
17,198.41545513043442
18,198.56205972858484
19,198.09904073164648
20,197.81366557798447
21,197.3271012872891
22,197.6569200780686
23,197.12088829241492
24,196.59067937654626
25,196.38973460896992
26,196.5560071884319
27,195.9868310524136
28,195.7838150514078
29,195.9808192337932
30,195.37087236389098
31,194.97549047070464
32,195.50170044593062
33,195.89245829783331
34,195.41562822955856
35,194.83870407316604
36,194.29487544786167
37,193.79406424525328
38,193.20368600059973
39,192.75275050797657
40,192.03491243706435
41,192.60780414220665
42,191.87195139959263
43,191.40551885816328
44,190.64574120988763
45,191.29018857680592
46,190.56592154636905
47,190.6679582348291
48,190.1469562674345
49,190.85550945823533
50,191.21368389049164
51,190.59814923494483
52,189.86398691265322
53,189.26220082865512
54,188.4313672730017
55,188.82191891762943
56,187.92999855435863
57,187.6545519789664
58,187.7991620608927
59,187.2233356734682
60,188.0219058323625
61,187.72937107705116
62,187.8302976204015
63,187.26566368351106
64,188.07032260096338
65,187.27817536296698
66,188.17661159016234
67,188.4865730587817
68,187.56618120186215
69,188.30939647866677
70,187.5118301460116
71,186.63470455116183
72,186.02720476079637
73,184.99183112738814
74,185.68912498129583
75,184.57667398820377
76,183.7857465909841
77,184.81337964520293
78,185.86385336069222
79,186.9226987959081
80,187.96396485001716
81,187.38862709812486
82,188.44902207339575
83,187.9146059898903
84,188.9557367294007
85,187.74348698174057
86,186.62589500131764
87,186.62903408976598
88,186.40608947424994
89,186.08445529334688
90,186.8127198356276
91,185.9332163566664
92,184.69095649782284
93,185.73329823775458
94,184.60993574241326
95,185.73289961278593
96,184.38684262549143
97,183.08521881339004
98,182.3201241681184
99,181.01382980550255
100,181.97762335725878
101,180.59459279373917
102,180.0627537888672
103,180.69863654617117
104,179.32032983829103
105,179.54901344259855
106,178.10608335954097
107,176.70147123905164
108,175.86897596792807
109,174.4555830890844
110,175.65993388987266
111,174.50096731088652
112,175.8920528553267
113,176.84152083116743
114,175.31727929562115
115,174.41452572521564
116,175.7577654090546
117,175.3738612366568
118,175.20478995055493
119,175.57929028421125
120,174.0600241415095
121,173.19653665042793
122,171.71441823197281
123,171.36656720339272
124,172.3914193610536
125,171.30538247563922
126,169.69444654165773
127,171.23896121275024
128,172.4526931959353
129,170.79062900716653
130,170.35831333104088
131,170.3259967935229
132,170.5211021598943
133,168.807456703623
134,167.14976908309225
135,166.19220874778304
136,164.5630597267081
137,164.878672598115
138,164.0769735158498
139,165.12007870412623
140,163.33532037366504
141,162.08582809721437
142,163.76951724586536
143,165.47605335138041
144,165.98238819937436
145,164.55264028576835
146,166.27514328968135
147,167.4510194405859
148,165.6031554336021
149,164.9288440509951
150,165.6516851051892
151,163.9832480883985
152,165.52593887653308
153,163.899836864205
154,162.6386817300127
155,160.75704266403628
156,162.58008399004734
157,164.24531358831965
158,162.94725932637846
159,164.75571075129005
160,165.83145159199793
161,164.51174308804588
162,162.5641412112821
163,164.4556816490613
164,166.25813336984476
165,165.88024336728753
166,165.1298502716888
167,166.91160132195694
168,164.9250869001464
169,163.81015636571323
170,161.91164135033415
171,160.95166087147655
172,162.91123476544095
173,162.94676364750305
174,162.8954310532576
175,161.05811578519683
176,161.75476627459705
177,160.1098953299682
178,162.13749098895644
179,163.5976872869586
180,161.46082254262893
181,161.18452341230864
182,160.11093547618552
183,162.1840387198928
184,162.990638956938
185,160.99313634768075
186,162.68631424036462
187,161.1321850239628
188,159.04196733532095
189,159.45157822659982
190,158.43502031614844
191,159.7705528503032
192,157.48756838545657
193,155.7835973187939
194,157.96610930891688
195,159.81314519621043
196,157.71295246032543
197,159.40412313415865
