Time,PID_distance
1,203.0
2,144.088
3,162.34442823529412
4,157.6459445564014
5,159.26492785532423
6,158.72953938644915
7,158.55271767124557
8,157.99230043697952
9,157.27116998740087
10,156.32655788187358
11,155.18069574576816
12,153.8309610933271
13,152.2824259287254
14,150.53820225878707
15,148.60229460332582
16,146.47874555459327
17,144.17187959100875
18,141.68622108275972
19,139.02650854228477
20,136.19768005541786
21,133.20486697373897
22,130.0533848954669
23,126.74872520358457
24,123.2965462095049
25,119.70266420152842
26,115.97304432677043
27,112.11379134519277
28,108.13114026189717
29,104.03144685354627
30,99.82117810196047
31,95.50690254880814
32,91.0952805850601
33,86.59305468893714
34,82.00703962602515
35,77.34411262518552
36,72.61120354381748
37,67.8152850359404
38,62.96336273645906
39,58.06246547485091
40,53.119635531374854
41,48.14191894874318
42,43.136355912025465
43,38.109971209363266
44,33.06976478586978
45,28.0227024028668
46,22.975706414378067
47,17.935646672545545
48,12.909331573373947
49,7.90349925392951
50,2.9248089518296183
51,-2.0201674624432826
52,-6.924953770185482
53,-11.783177496181167
54,-16.58857779792322
55,-21.335013143138895
56,-26.01646876677239
57,-30.62706389894271
58,-35.161058755771876
59,-39.612861285362214
60,-43.97703366159368
61,-48.24829851881043
62,-52.421544920871554
63,-56.491834058451616
64,-60.45440466889278
65,-64.30467817333147
66,-68.03826352624674
67,-71.65096177300688
68,-75.13877031142022
69,-78.49788685373034
70,-81.72471308593072
71,-84.81585802170866
72,-87.76814104876524
73,-90.57859466569329
74,-93.24446690803097
75,-95.76322346254142
76,-98.13254946920108
77,-100.3503510108086
78,-102.41475629055014
79,-104.32411649828316
80,-106.07700636671359
81,-107.67222441905949
82,-109.10879291019808
83,-110.38595746369833
84,-111.50318640753517
85,-112.46016981167065
86,-113.2568182310705
87,-113.89326115809638
88,-114.36984518858128
89,-114.6871319062526
90,-114.8458954905152
91,-114.84712005294523
92,-114.69199670817443
93,-114.38192038516377
94,-113.91848638517229
95,-113.30348669302487
96,-112.53890604856758
97,-111.62691778547526
98,-110.56987944483626
99,-109.37032817119075
100,-108.03097589893821
101,-106.55470433725202
102,-104.94455976185532
103,-103.20374762220922
104,-101.33562697285276
105,-99.34370473780587
106,-97.23162981710755
107,-95.00318704470658
108,-92.66229100705596
109,-90.2129797318795
110,-87.65940825668554
111,-85.00584208669261
112,-82.25665055191098
113,-79.41630007318531
114,-76.48934734705506
115,-73.45147973319399
116,-70.23429069424196
117,-66.91604742508389
118,-63.5406693707107
119,-60.10173333596424
120,-56.60779539929695
121,-53.06302250483509
122,-49.47292300901688
123,-45.84263888001294
124,-42.17744236631302
125,-38.482579387594456
126,-34.76330658652648
127,-31.02487105383034
128,-27.27250712182581
129,-23.51142819052768
130,-19.746820128627178
131,-15.983834321965332
132,-12.227580951963091
133,-8.48312234239279
134,-4.7554664331224785
135,-1.0495603739104808
136,2.6297157495389456
137,6.277555051022205
138,9.889229833097374
139,13.46009742322633
140,16.985605849979606
141,20.461299352797596
142,23.882823719065073
143,27.245931442542997
144,30.546486697486557
145,33.780470123074565
146,36.94398341307385
147,40.0332537059644
148,43.03590806395141
149,45.87321576558327
150,48.54684367255436
151,51.15777823823203
152,53.672300087957524
153,56.09679670716332
154,58.42595819650512
155,60.658133277913294
156,62.790781302163055
157,64.82182274775676
158,66.74924134508888
159,68.57120406156105
160,70.2860273220225
161,71.89218850829093
162,73.38832374902483
163,74.77322948250492
164,76.04586261212842
165,77.2053407911742
166,78.25094238319093
167,79.18210623455627
168,79.99843122121581
169,80.69967558370047
170,81.28575604944194
171,81.75674674622542
172,82.1128779095335
173,82.3545343871923
174,82.48225394486315
175,82.49672537620256
176,82.39878642173949
177,82.18942150075134
178,81.86975926064326
179,81.44106994854678
180,80.90476261006336
181,80.26238212027351
182,79.51560605232419
183,78.66624138908662
184,77.71622108354825
185,76.66760047376783
186,75.52255355837337
187,74.28336913873079
188,72.95244683404246
189,71.53229297576331
190,70.02551638783746
191,68.43482405936265
192,66.76301671638896
193,65.01298429964345
194,63.18770135504792
195,61.29022234396609
196,59.32367688017166
197,57.29126490057513
198,55.1962517767862
199,53.041963374612806
200,50.83178106861783
201,48.56913671885866
202,46.257507616935754
203,43.90041140846097
204,41.50140099903683
205,39.06405945080587
206,36.591994876588274
207,34.088835338577155
208,31.558223758500844
209,29.003812846094092
210,26.429260052643485
211,23.83822255628661
212,21.234352285650857
213,18.621290988316673
214,16.002665350477514
215,13.382082174053949
216,10.763123617390875
217,8.149342505536197
218,5.544257715957315
219,2.951349645406367
220,0.3740557634898778
221,-2.1842337416601367
222,-4.720180220384236
223,-7.230500716103734
224,-9.711972012659999
225,-12.161434569686094
226,-14.575796341502496
227,-16.952036475219757
228,-19.28720888392786
229,-21.57844569105555
230,-23.822960542185
231,-26.01805178081713
232,-28.161105484795257
233,-30.249598360308028
234,-32.28110049061115
235,-34.25327793682493
236,-36.16389518838855
237,-38.0108174609727
238,-39.79201283987777
239,-41.50555426716949
240,-43.14962137103089
241,-44.722502136033654
242,-46.22259441326071
243,-47.648407269436234
244,-48.99856217444619
245,-50.27179402685579
246,-51.46695201725424
247,-52.58300032948057
248,-53.61901868000223
249,-54.57420269593797
250,-55.44786413243264
251,-56.23943093030334
252,-56.948447115088925
253,-57.57457253883956
254,-58.11758246619081
255,-58.577367006461714
256,-58.95393039371879
257,-59.24739011693441
258,-59.457975902560975
259,-59.586028552020935
260,-59.6319986367962
261,-59.596445053968864
262,-59.480033445238405
263,-59.28353448259941
264,-59.007822024024335
265,-58.65387114264513
266,-58.222756033075484
267,-57.7156477986523
268,-57.13381212351237
269,-56.478606833543154
270,-55.75147935037012
271,-54.953964042656935
272,-54.08767947909996
273,-53.15432558760267
274,-52.15568072520614
275,-51.09359866344039
276,-49.970005493840745
277,-48.78689645844656
278,-47.546332710162915
279,-46.25043800793037
280,-44.90139535168987
281,-43.50144356218402
282,-42.05287381066523
283,-40.558026103616385
284,-39.01928572760676
285,-37.4390796594289
286,-35.81987294666078
287,-34.16416506381006
288,-32.474486249180245
289,-30.75339382759512
290,-29.00346852409234
291,-27.22731077367348
292,-25.427537032162718
293,-23.60677609318941
294,-21.767665416260343
295,-19.912847470837278
296,-18.044966101273758
297,-16.166662917403983
298,-14.280573715500623
299,-12.389324934244769
300,-10.495530150267314
301,-8.601786617733296
302,-6.710671856343652
303,-4.8247402920369495
304,-2.946519954560472
305,-1.0785092359785722
306,0.77682628593152
307,2.617056955563612
308,4.439792074935895
309,6.242682863128721
310,8.023425336256423
311,9.77976310465101
312,11.509490084079971
313,13.210453117955694
314,14.880554507643637
315,16.517754448117557
316,18.120073366364977
317,19.685594160096116
318,21.2124643344614
319,22.698898034644117
320,24.143177972347075
321,25.5436572443557
322,26.898761041518355
323,28.206988246648052
324,29.46691292000969
325,30.677185671224606
326,31.83653491658083
327,32.94376802090983
328,33.99777232334577
329,34.997516046450755
330,35.94204908835354
331,36.83050369770672
332,37.66209503143182
333,38.43612159538043
334,39.1519655681991
335,39.809093008838545
336,40.407053948308885
337,40.94548236643118
338,41.424096054485744
339,41.84269636481167
340,42.20116784855213
341,42.49947778288515
342,42.73767558922145
343,42.915892143986866
344,43.034338983738735
345,43.09330740650216
346,43.09316747133062
347,43.03436689822752
348,42.91742987067778
349,42.74295574315852
