Time,PID_distance,APID_distance,SPID_distance
1,1.03,1.03,1.03
2,1.0,1.06,1.06
3,0.9700000000000001,1.03,1.03
4,0.9400000000000002,1.0,1.0
5,0.9100000000000001,0.9700000000000002,0.9700000000000002
6,0.8800000000000001,0.9400000000000002,0.9400000000000002
7,0.8500000000000002,0.9100000000000001,0.9100000000000001
8,0.8200000000000003,0.8800000000000002,0.8800000000000002
9,0.7900000000000003,0.8500000000000003,0.8500000000000003
10,0.7600000000000002,0.8200000000000003,0.8200000000000003
11,0.7300000000000002,0.7900000000000003,0.7900000000000003
12,0.7000000000000002,0.7600000000000002,0.7600000000000002
13,0.6700000000000002,0.7300000000000002,0.7300000000000002
14,0.6400000000000001,0.7000000000000002,0.7000000000000002
15,0.6100000000000001,0.6700000000000002,0.6700000000000002
16,0.5800000000000001,0.6400000000000001,0.6400000000000001
17,0.55,0.6100000000000001,0.6100000000000001
18,0.52,0.5800000000000001,0.5800000000000001
19,0.49,0.55,0.55
20,0.45999999999999996,0.52,0.52
21,0.42999999999999994,0.49,0.49
22,0.3999999999999999,0.45999999999999996,0.45999999999999996
23,0.3699999999999999,0.42999999999999994,0.42999999999999994
24,0.33999999999999986,0.3999999999999999,0.3999999999999999
25,0.30999999999999983,0.3699999999999999,0.3699999999999999
26,0.2799999999999998,0.33999999999999986,0.33999999999999986
27,0.24999999999999978,0.30999999999999983,0.30999999999999983
28,0.21999999999999975,0.2799999999999998,0.2799999999999998
29,0.18999999999999972,0.24999999999999978,0.24999999999999978
30,0.1599999999999997,0.21999999999999975,0.21999999999999975
31,0.12999999999999967,0.18999999999999972,0.18999999999999972
32,0.09999999999999964,0.1599999999999997,0.1599999999999997
33,0.06999999999999962,0.12999999999999967,0.12999999999999967
34,0.03999999999999959,0.09999999999999964,0.09999999999999964
35,0.009999999999999343,0.0699999999999994,0.0699999999999994
36,-0.020000000000000906,0.03999999999999915,0.03999999999999915
37,-0.050000000000001155,0.009999999999998899,0.009999999999998899
38,-0.0800000000000014,-0.02000000000000135,-0.02000000000000135
39,-0.11000000000000165,-0.0500000000000016,-0.0500000000000016
40,-0.1400000000000019,-0.08000000000000185,-0.08000000000000185
41,-0.17000000000000215,-0.1100000000000021,-0.1100000000000021
42,-0.19330000000000025,-0.14000000000000234,-0.14000000000000234
43,-0.19369699999999979,-0.1700000000000026,-0.1700000000000026
44,-0.1917997299999996,-0.20000000000000284,-0.20000000000000284
45,-0.1896920057,-0.2300000000000031,-0.2300000000000031
46,-0.18758431321299973,-0.26000000000000334,-0.26000000000000334
47,-0.18549770083216988,-0.2900000000000036,-0.2900000000000036
48,-0.18343406258576556,-0.32000000000000384,-0.32000000000000384
49,-0.18139335813526714,-0.3191299775536587,-0.3191299775536587
50,-0.1793753541088643,-0.2891299775536589,-0.2891299775536589
51,-0.17737980016513566,-0.2591299775536591,-0.2591299775536591
52,-0.17540644676911166,-0.22912997755365927,-0.22912997755365927
53,-0.17345504696181813,-0.19912997755365947,-0.19912997755365947
54,-0.1715253565114705,-0.16912997755365966,-0.16912997755365966
55,-0.16961713390132083,-0.13912997755365986,-0.13912997755365986
56,-0.16773014030129252,-0.10912997755366005,-0.10912997755366005
57,-0.1658641395382774,-0.07912997755366025,-0.07912997755366025
58,-0.16401889806659264,-0.04912997755366044,-0.04912997755366044
59,-0.16219418493875848,-0.019129977553660638,-0.019129977553660638
60,-0.16038977177658698,0.010833745559858166,0.010833745559858166
61,-0.15860543274260452,0.012560507861276715,0.012560507861276715
62,-0.1568409445117802,-0.01432009327911743,-0.01432009327911743
63,-0.15509608624357973,-0.04104997038830982,-0.04104997038830982
64,-0.15337063955432395,-0.038359799533843386,-0.038359799533843386
65,-0.1516643884898552,-0.008359799533843582,-0.008359799533843582
66,-0.14997711949850956,0.021640200466156223,0.021640200466156223
67,-0.14830862140438983,0.02270083689182112,0.02270083689182112
68,-0.14665868538093418,-0.00622915583155681,-0.00622915583155681
69,-0.14502710492477933,-0.03550041375988178,-0.03550041375988178
70,-0.14341367582991627,-0.03425895443154747,-0.03425895443154747
71,-0.14181819616213032,-0.004258954431547668,-0.004258954431547668
72,-0.14024046623373065,0.025741045568452137,0.025741045568452137
73,-0.1386802885785534,0.027320181848886627,0.027320181848886627
74,-0.13713746792725034,-0.0016947113167757877,-0.0016947113167757877
75,-0.13561181118284704,-0.031694711316776036,-0.031694711316776036
76,-0.1341031273965787,-0.032024507871500685,-0.032024507871500685
77,-0.1326112277439857,-0.00202450787150088,-0.00202450787150088
78,-0.13113592550128672,0.027975492128498924,0.027975492128498924
79,-0.1296770360220041,0.02915643693260428,0.02915643693260428
80,-0.12823437671385562,-0.0005015177106360014,-0.0005015177106360014
81,-0.12680776701590224,-0.03050151771063625,-0.03050151771063625
82,-0.1253970283759478,-0.030853704122142833,-0.030853704122142833
83,-0.12400198422819297,-0.0008537041221430286,-0.0008537041221430286
84,-0.12262245997113563,0.029146295877856776,0.029146295877856776
85,-0.1212582829457185,0.029861044339609233,0.029861044339609233
86,-0.11990928241371934,-0.0001389556603910158,-0.0001389556603910158
87,-0.1185752895363823,-0.030138955660391265,-0.030138955660391265
88,-0.117256137353285,-0.030422339877183457,-0.030422339877183457
89,-0.11595166076144237,-0.00042233987718365285,-0.00042233987718365285
90,-0.11466169649464364,0.029577660122816152,0.029577660122816152
91,-0.11338608310301757,0.030128221090883756,0.030128221090883756
92,-0.11212466093282458,0.00012822109088350686,0.00012822109088350686
93,-0.1108772721064768,-0.029871778909116742,-0.029871778909116742
